code,N,log2P_exact,rate
wrong,100,-3.013022160337779,0.03013022160337779
fixed,100,-5.180057411112,0.051800574111120004
KT,100,-3.5919180942035194,0.035919180942035195
wrong,200,-4.525214079067151,0.022626070395335755
fixed,200,-8.124257000175662,0.04062128500087831
KT,200,-7.263655966302363,0.03631827983151182
wrong,300,-5.909269857974186,0.019697566193247286
fixed,300,-10.97670816893223,0.0365890272297741
KT,300,-11.02410812622292,0.036747027087409734
wrong,450,-7.8844880519649605,0.017521084559922136
fixed,450,-15.114318854071787,0.03358737523127064
KT,450,-16.90569392960107,0.037568208732446824
wrong,600,-9.796637713735421,0.016327729522892367
fixed,600,-19.197007589185574,0.03199501264864262
KT,600,-22.67492205353326,0.03779153675588876
