point,p,D,n,grade,Var_j_over_n,predicted,se
interior,0.3,0.024123024273687177,6,exact,0.26149256555463746,0.26149256555463735,0.0
interior,0.3,0.024123024273687177,8,exact,0.27456719383236916,0.27456719383236916,0.0
interior,0.3,0.024123024273687177,10,exact,0.28241197079900837,0.2824119707990083,0.0
interior,0.3,0.024123024273687177,12,exact,0.28764182211010086,0.28764182211010103,0.0
interior,0.3,0.024123024273687177,14,exact,0.29137743018945284,0.291377430189453,0.0
near-edge,0.38,0.08393680738281573,6,exact,0.09793413212418,0.09793413212418005,0.0
near-edge,0.38,0.08393680738281573,8,exact,0.10283083873038906,0.10283083873038905,0.0
near-edge,0.38,0.08393680738281573,10,exact,0.10576886269411459,0.10576886269411445,0.0
near-edge,0.38,0.08393680738281573,12,exact,0.10772754533659794,0.10772754533659805,0.0
near-edge,0.38,0.08393680738281573,14,exact,0.10912660436694328,0.10912660436694346,0.0
endpoint,0.45,0.21252021271196558,6,exact,0.017286654288684814,0.017286654288684738,0.0
endpoint,0.45,0.21252021271196558,8,exact,0.018150987003118502,0.018150987003118978,0.0
endpoint,0.45,0.21252021271196558,10,exact,0.018669586631779082,0.018669586631779516,0.0
endpoint,0.45,0.21252021271196558,12,exact,0.019015319717550983,0.019015319717553214,0.0
endpoint,0.45,0.21252021271196558,14,exact,0.01926227192165666,0.01926227192167728,0.0
interior,0.3,0.024123024273687177,64,mc,0.3099975036481032,0.30888809306141535,0.0021829562527134797
interior,0.3,0.024123024273687177,128,mc,0.3120813198317274,0.31133958586349003,0.0021954075165739506
interior,0.3,0.024123024273687177,256,mc,0.3112595818728234,0.31256533226452743,0.0022100159918560136
interior,0.3,0.024123024273687177,512,mc,0.3120633216889987,0.3131782054650461,0.0021956759871451324
interior,0.3,0.024123024273687177,1024,mc,0.3140524606631108,0.3134846420653054,0.002202667830115279
interior,0.3,0.024123024273687177,2048,mc,0.3128176631663239,0.3136378603654351,0.0021987483832993492
near-edge,0.38,0.08393680738281573,64,mc,0.11522659347064443,0.11568469357168767,0.0008111201603054164
near-edge,0.38,0.08393680738281573,128,mc,0.11652624168605577,0.11660282606035186,0.0008174997919359073
near-edge,0.38,0.08393680738281573,256,mc,0.11689921010074969,0.11706189230468396,0.0008202976729596754
near-edge,0.38,0.08393680738281573,512,mc,0.1168758024784197,0.11729142542685,0.000824286309225704
near-edge,0.38,0.08393680738281573,1024,mc,0.11667332054477493,0.11740619198793302,0.0008231225463831105
near-edge,0.38,0.08393680738281573,2048,mc,0.11780431694593559,0.11746357526847453,0.0008331844046449131
endpoint,0.45,0.21252021271196558,64,mc,0.02021990454222694,0.020419860378508847,0.00014221344044511064
endpoint,0.45,0.21252021271196558,128,mc,0.02041296009675174,0.020581922762465267,0.0001428122101787791
endpoint,0.45,0.21252021271196558,256,mc,0.020355207488528187,0.020662953954443477,0.00014319879623419664
endpoint,0.45,0.21252021271196558,512,mc,0.02065631705959931,0.020703469550432584,0.00014647619581610184
endpoint,0.45,0.21252021271196558,1024,mc,0.020863041532730123,0.020723727348427135,0.00014928257111790615
endpoint,0.45,0.21252021271196558,2048,mc,0.02078890930387756,0.02073385624742441,0.0001479460336935832
