p,n,Dc_n,Dc_n_minus_Dc,n2_scaled,K2_predicted
0.1,8,0.003604820928693665,0.0005088159286469117,0.03256421943340235,0.03027312256771866
0.1,12,0.0033117844400498324,0.00021577944000307926,0.031072239360443413,0.03027312256771866
0.1,16,0.0032155906146880946,0.00011958561464134147,0.030613917348183417,0.03027312256771866
0.1,20,0.0031720641467754694,7.605914672871627e-05,0.030423658691486506,0.03027312256771866
0.1,24,0.0031486631883072256,5.265818826047245e-05,0.03033111643803213,0.03027312256771866
0.2,8,0.018276143236259753,0.0023990615121868807,0.15353993677996036,0.14931567765263473
0.2,12,0.016913148564002042,0.00103606683992917,0.14919362494980049,0.14931567765263473
0.2,16,0.016455676164870682,0.0005785944407978097,0.14812017684423928,0.14931567765263473
0.2,20,0.01624664017913259,0.00036955845505971807,0.14782338202388723,0.14931567765263473
0.2,24,0.016133628875105454,0.0002565471510325816,0.147771158994767,0.14931567765263473
0.3,8,0.05443187889003522,0.006185830342660868,0.39589314193029557,0.40946627639997024
0.3,12,0.050985341830289736,0.0027392932829153824,0.39445823273981506,0.40946627639997024
0.3,16,0.04979212154727218,0.0015460729998978268,0.39579468797384365,0.40946627639997024
0.3,20,0.04923933233118728,0.0009932837838129288,0.3973135135251715,0.40946627639997024
0.3,24,0.04893813519657785,0.000692086649203498,0.39864190994121484,0.40946627639997024
