A,p,Dc,margin,margin_over_p,predicted_slope
2,0.04,0.000434216321591685,0.0002168253862060432,0.00542063465515108,0.0
2,0.02,0.0001041341258820605,5.20507936925263e-05,0.002602539684626315,0.0
2,0.01,2.550825193609052e-05,1.2753149243760475e-05,0.0012753149243760475,0.0
3,0.04,0.00021694615253694172,0.017915718735822095,0.44789296839555237,0.5
3,0.02,5.2057657828859697e-05,0.009470670721653418,0.4735335360826709,0.5
3,0.01,1.2753559100686651e-05,0.00486664348409005,0.48666434840900497,0.5
4,0.04,0.00014462825445964167,0.02458378873872613,0.6145947184681533,0.6666666666666666
4,0.02,3.470498271034017e-05,0.012809023885247628,0.6404511942623814,0.6666666666666666
4,0.01,8.502366046006515e-06,0.006535151958789731,0.6535151958789731,0.6666666666666666
5,0.04,0.0001084751258247696,0.028073558031097567,0.7018389507774392,0.75
5,0.02,2.6028972743263884e-05,0.014516964379615693,0.7258482189807847,0.75
5,0.01,6.376788951589773e-06,0.007379071033785989,0.7379071033785989,0.75
