A,p,D_over_Dc,D,s,margin
2,0.01,0.15,3.826237790413578e-06,0.15,0.42501251111769967
2,0.01,0.15,3.826237790413578e-06,0.48239918373219925,0.4250124688235313
2,0.01,0.15,3.826237790413578e-06,0.8147983674643985,0.4250123563520365
2,0.01,0.15,3.826237790413578e-06,1.1471975511965977,0.4250122050137408
2,0.01,0.15,3.826237790413578e-06,1.4795967349287968,0.4250120282880192
2,0.01,0.15,3.826237790413578e-06,1.8119959186609962,0.42501184602378417
2,0.01,0.15,3.826237790413578e-06,2.1443951023931955,0.4250116781939799
2,0.01,0.15,3.826237790413578e-06,2.4767942861253944,0.4250115430845989
2,0.01,0.15,3.826237790413578e-06,2.8091934698575938,0.4250114558388176
2,0.01,0.15,3.826237790413578e-06,3.141592653589793,0.42501142563719907
2,0.01,0.3,7.652475580827156e-06,0.15,0.35002331702325873
2,0.01,0.3,7.652475580827156e-06,0.48239918373219925,0.35002309527539843
2,0.01,0.3,7.652475580827156e-06,0.8147983674643985,0.35002267219388616
2,0.01,0.3,7.652475580827156e-06,1.1471975511965977,0.3500220883147347
2,0.01,0.3,7.652475580827156e-06,1.4795967349287968,0.3500214089002971
2,0.01,0.3,7.652475580827156e-06,1.8119959186609962,0.3500207084657301
2,0.01,0.3,7.652475580827156e-06,2.1443951023931955,0.35002006343334924
2,0.01,0.3,7.652475580827156e-06,2.4767942861253944,0.3500195445610257
2,0.01,0.3,7.652475580827156e-06,2.8091934698575938,0.3500192085543383
2,0.01,0.3,7.652475580827156e-06,3.141592653589793,0.35001909229266426
2,0.01,0.5,1.275412596804526e-05,0.15,0.2500350076938971
2,0.01,0.5,1.275412596804526e-05,0.48239918373219925,0.25003443579344253
2,0.01,0.5,1.275412596804526e-05,0.8147983674643985,0.250033320396589
2,0.01,0.5,1.275412596804526e-05,1.1471975511965977,0.2500317864797468
2,0.01,0.5,1.275412596804526e-05,1.4795967349287968,0.25003000119179575
2,0.01,0.5,1.275412596804526e-05,1.8119959186609962,0.2500281603759438
2,0.01,0.5,1.275412596804526e-05,2.1443951023931955,0.25002646524366967
2,0.01,0.5,1.275412596804526e-05,2.4767942861253944,0.2500251017489987
2,0.01,0.5,1.275412596804526e-05,2.8091934698575938,0.25002421892400584
2,0.01,0.5,1.275412596804526e-05,3.141592653589793,0.25002391351194264
2,0.01,0.7,1.7855776355263362e-05,0.15,0.15004362991042797
2,0.01,0.7,1.7855776355263362e-05,0.48239918373219925,0.1500425684394442
2,0.01,0.7,1.7855776355263362e-05,0.8147983674643985,0.15004050783009282
2,0.01,0.7,1.7855776355263362e-05,1.1471975511965977,0.15003767261809497
2,0.01,0.7,1.7855776355263362e-05,1.4795967349287968,0.15003437331906944
2,0.01,0.7,1.7855776355263362e-05,1.8119959186609962,0.1500309712572474
2,0.01,0.7,1.7855776355263362e-05,2.1443951023931955,0.15002783872309378
2,0.01,0.7,1.7855776355263362e-05,2.4767942861253944,0.1500253187763716
2,0.01,0.7,1.7855776355263362e-05,2.8091934698575938,0.15002368725141868
2,0.01,0.7,1.7855776355263362e-05,3.141592653589793,0.15002312281181118
2,0.01,0.85,2.1682014145676943e-05,0.15,0.07504807700603444
2,0.01,0.85,2.1682014145676943e-05,0.48239918373219925,0.07504658517054486
2,0.01,0.85,2.1682014145676943e-05,0.8147983674643985,0.07504368445791165
2,0.01,0.85,2.1682014145676943e-05,1.1471975511965977,0.07503969388062015
2,0.01,0.85,2.1682014145676943e-05,1.4795967349287968,0.07503505022222345
2,0.01,0.85,2.1682014145676943e-05,1.8119959186609962,0.07503026178851324
2,0.01,0.85,2.1682014145676943e-05,2.1443951023931955,0.07502585276548124
