corpus,W,total_bpb,repair_bpb,a_ideal_bpb,c_rho_bpb,b_model_bpb,d_nu_bpb,e_mu_bpb,coded_fraction,zstd_block_bpb,lzma_block_bpb,stream_best,stream_best_bpb
enwik8,2,3.4241,3.4199,3.4198,0.00007,0.000061,0.00104,0.00317,1.000,2.7990,2.7142,brotli,2.2358
enwik8,3,3.5172,3.5129,3.5128,0.00008,0.000061,0.00104,0.00317,1.000,2.7990,2.7142,brotli,2.2358
enwik8,4,3.7865,3.7822,3.7821,0.00007,0.000061,0.00104,0.00317,1.000,2.7990,2.7142,brotli,2.2358
calgary,2,3.3437,3.3394,3.3394,0.00006,0.000061,0.00104,0.00317,1.000,3.0785,3.0306,bz2,2.3768
calgary,3,3.5961,3.5919,3.5918,0.00006,0.000061,0.00104,0.00317,1.000,3.0785,3.0306,bz2,2.3768
calgary,4,4.0427,4.0384,4.0383,0.00007,0.000061,0.00104,0.00317,1.000,3.0785,3.0306,bz2,2.3768
canterbury,2,2.2269,2.2226,2.2225,0.00006,0.000061,0.00104,0.00317,1.000,1.4145,1.1961,lzma,1.0714
canterbury,3,2.3038,2.2995,2.2994,0.00007,0.000061,0.00104,0.00317,1.000,1.4145,1.1961,lzma,1.0714
canterbury,4,2.4652,2.4609,2.4608,0.00007,0.000061,0.00104,0.00317,1.000,1.4145,1.1961,lzma,1.0714
scripts_src,2,3.1279,3.1236,3.1235,0.00007,0.000061,0.00104,0.00317,1.000,2.2813,2.2396,brotli,1.5791
scripts_src,3,3.1420,3.1377,3.1377,0.00007,0.000061,0.00104,0.00317,1.000,2.2813,2.2396,brotli,1.5791
scripts_src,4,3.2820,3.2778,3.2777,0.00007,0.000061,0.00104,0.00317,1.000,2.2813,2.2396,brotli,1.5791
sqlite_synth,2,4.4663,4.4621,4.4620,0.00006,0.000061,0.00104,0.00317,1.000,3.9584,3.2369,lzma,2.8244
sqlite_synth,3,4.6802,4.6759,4.6758,0.00007,0.000061,0.00104,0.00317,1.000,3.9584,3.2369,lzma,2.8244
sqlite_synth,4,4.7567,4.7524,4.7523,0.00005,0.000061,0.00104,0.00317,1.000,3.9584,3.2369,lzma,2.8244
telemetry_grid,2,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,7.3927,6.5476,lzma,6.6242
telemetry_grid,3,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,7.3927,6.5476,lzma,6.6242
telemetry_grid,4,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,7.3927,6.5476,lzma,6.6242
ctrl_urandom,2,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_urandom,3,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_urandom,4,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_zstd,2,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_zstd,3,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_zstd,4,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,8.0012,8.0078,brotli,8.0000
ctrl_base64,2,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,6.0409,6.1886,brotli,6.0280
ctrl_base64,3,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,6.0409,6.1886,brotli,6.0280
ctrl_base64,4,8.0043,8.0000,,,0.000061,0.00104,0.00317,0.000,6.0409,6.1886,brotli,6.0280
