corpus,W,total_bpb,repair_bpb,a_ideal_bpb,c_rho_bpb,b_model_bpb,d_nu_bpb,e_mu_bpb,coded_fraction,zstd_block_bpb,lzma_block_bpb,stream_best,stream_best_bpb
enwik8,2,3.3544,3.3490,3.3489,0.00006,0.000244,0.00122,0.00391,1.000,2.6896,2.6091,brotli,2.2371
enwik8,3,3.4188,3.4134,3.4133,0.00009,0.000244,0.00122,0.00391,1.000,2.6896,2.6091,brotli,2.2371
calgary,2,3.3010,3.2957,3.2956,0.00007,0.000244,0.00122,0.00391,1.000,2.9413,2.8732,bz2,2.4320
calgary,3,3.4964,3.4911,3.4910,0.00006,0.000244,0.00122,0.00391,1.000,2.9413,2.8732,bz2,2.4320
canterbury,2,3.1255,3.1201,3.1201,0.00005,0.000244,0.00122,0.00391,1.000,2.9074,2.8690,bz2,2.3859
canterbury,3,3.3389,3.3335,3.3334,0.00010,0.000244,0.00122,0.00391,1.000,2.9074,2.8690,bz2,2.3859
scripts_src,2,3.2232,3.2178,3.2177,0.00010,0.000244,0.00122,0.00391,1.000,2.3650,2.3232,brotli,2.0512
scripts_src,3,3.2435,3.2381,3.2381,0.00006,0.000244,0.00122,0.00391,1.000,2.3650,2.3232,brotli,2.0512
sqlite_synth,2,4.6026,4.5972,4.5972,0.00003,0.000244,0.00122,0.00391,1.000,4.0444,3.3501,lzma,3.1002
sqlite_synth,3,4.8028,4.7974,4.7973,0.00008,0.000244,0.00122,0.00391,1.000,4.0444,3.3501,lzma,3.1002
telemetry_grid,2,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,7.3701,6.4677,lzma,6.3862
telemetry_grid,3,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,7.3701,6.4677,lzma,6.3862
ctrl_urandom,2,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,8.0012,8.0078,brotli,8.0002
ctrl_urandom,3,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,8.0012,8.0078,brotli,8.0002
ctrl_zstd,2,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,8.0012,8.0078,brotli,8.0002
ctrl_zstd,3,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,8.0012,8.0078,brotli,8.0002
ctrl_base64,2,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,6.0407,6.1882,brotli,6.0287
ctrl_base64,3,8.0054,8.0000,,,0.000244,0.00122,0.00391,0.000,6.0407,6.1882,brotli,6.0287
