corpus,order,holdout_ce_bpb,holdout_coverage,third1_h,third2_h,third3_h
enwik8,0,5.1130,1.0000,5.0733,5.1014,5.1046
enwik8,1,3.8830,1.0000,3.8569,3.8650,3.8289
enwik8,2,3.2953,0.9988,2.9959,3.0190,2.9899
enwik8,3,3.2750,0.9888,2.2343,2.2659,2.2553
enwik8,4,3.7960,0.9532,,,
calgary,0,6.6697,1.0000,4.7302,5.9768,4.4055
calgary,1,5.0214,1.0000,3.7109,4.3894,2.5731
calgary,2,4.2174,0.8783,2.8849,2.9598,1.7747
calgary,3,4.3445,0.7478,2.1900,1.9230,1.1660
calgary,4,4.7030,0.6497,,,
canterbury,0,5.1254,1.0000,4.7522,5.0994,3.7422
canterbury,1,3.7630,1.0000,3.1656,3.2695,2.0422
canterbury,2,4.2276,0.9615,2.0159,2.1985,1.6138
canterbury,3,3.5906,0.9254,1.6848,1.7149,1.2305
canterbury,4,4.2406,0.8625,,,
scripts_src,0,5.0932,1.0000,5.0318,5.0424,5.0913
scripts_src,1,3.8015,1.0000,3.7307,3.7323,3.6980
scripts_src,2,3.2154,0.9975,2.6060,2.5944,2.6142
scripts_src,3,3.4878,0.9678,1.7313,1.7232,1.7381
scripts_src,4,4.1420,0.8937,,,
sqlite_synth,0,7.0803,1.0000,6.9991,6.9982,6.8442
sqlite_synth,1,5.8971,1.0000,4.5285,4.4725,5.0041
sqlite_synth,2,4.8412,0.9956,2.6241,2.5987,2.9298
sqlite_synth,3,5.4117,0.7442,1.9278,1.9344,1.7222
sqlite_synth,4,5.9200,0.5836,,,
telemetry_grid,0,7.3620,1.0000,7.3539,7.3460,7.3537
telemetry_grid,1,7.2678,1.0000,7.2295,7.2134,7.2298
telemetry_grid,2,7.6624,1.0000,5.6613,5.6511,5.6642
telemetry_grid,3,8.0009,0.6922,1.1606,1.1943,1.1576
telemetry_grid,4,7.9965,0.0145,,,
ctrl_urandom,0,8.0000,1.0000,7.9999,7.9999,7.9999
ctrl_urandom,1,8.0111,1.0000,7.9829,7.9831,7.9831
ctrl_urandom,2,8.0841,1.0000,5.2712,5.2711,5.2713
ctrl_urandom,3,8.0004,0.2210,0.1603,0.1602,0.1601
ctrl_urandom,4,8.0000,0.0010,,,
ctrl_zstd,0,7.9993,1.0000,7.9989,7.9992,7.9992
ctrl_zstd,1,8.0101,1.0000,7.9815,7.9821,7.9820
ctrl_zstd,2,8.0829,1.0000,5.2709,5.2709,5.2710
ctrl_zstd,3,8.0001,0.2220,0.1617,0.1617,0.1619
ctrl_zstd,4,7.9999,0.0012,,,
ctrl_base64,0,6.0222,1.0000,6.0221,6.0221,6.0221
ctrl_base64,1,6.0268,1.0000,6.0208,6.0208,6.0208
ctrl_base64,2,6.3043,1.0000,5.9508,5.9501,5.9506
ctrl_base64,3,7.8591,1.0000,3.2688,3.2698,3.2695
ctrl_base64,4,7.9977,0.2098,,,
