corpus,order,holdout_ce_bpb,holdout_coverage,third1_h,third2_h,third3_h
enwik8,0,5.0888,1.0000,5.0057,5.1303,5.0888
enwik8,1,3.9312,1.0000,3.7974,3.8507,3.8289
enwik8,2,3.5350,0.9968,2.8332,2.8941,2.9385
enwik8,3,3.8852,0.9762,1.9937,2.0417,2.0929
enwik8,4,4.6847,0.9093,,,
calgary,0,6.9681,1.0000,4.7409,4.7318,6.1040
calgary,1,5.3973,0.9111,3.6641,3.7447,4.5179
calgary,2,4.9374,0.7959,2.8488,2.8179,2.9961
calgary,3,5.1492,0.7089,2.1633,2.0237,1.8804
calgary,4,5.6923,0.6250,,,
canterbury,0,5.7036,1.0000,4.9471,3.9542,4.6394
canterbury,1,4.0419,0.9996,3.3024,2.8678,3.5275
canterbury,2,3.7436,0.9536,2.0983,1.6800,2.7854
canterbury,3,4.4301,0.8853,1.6828,1.4694,2.1085
canterbury,4,5.3576,0.7855,,,
scripts_src,0,5.0586,1.0000,5.0421,5.0182,5.0396
scripts_src,1,3.8965,1.0000,3.6981,3.7422,3.7036
scripts_src,2,3.4235,0.9938,2.5914,2.5327,2.5275
scripts_src,3,3.8346,0.9442,1.7064,1.6378,1.6382
scripts_src,4,4.5183,0.8465,,,
sqlite_synth,0,7.1094,1.0000,6.9385,6.9304,6.9376
sqlite_synth,1,5.0649,1.0000,4.4987,4.2546,4.2904
sqlite_synth,2,4.5438,0.9785,2.3544,2.3414,2.3569
sqlite_synth,3,5.2959,0.7798,1.5909,1.6430,1.6415
sqlite_synth,4,5.8986,0.6260,,,
telemetry_grid,0,7.3721,1.0000,7.3371,7.3758,7.3502
telemetry_grid,1,7.3139,1.0000,7.1588,7.1852,7.1788
telemetry_grid,2,7.9159,0.9998,4.4931,4.4692,4.4826
telemetry_grid,3,8.0002,0.4160,0.4235,0.3824,0.4011
telemetry_grid,4,7.9991,0.0036,,,
ctrl_urandom,0,8.0002,1.0000,7.9997,7.9997,7.9997
ctrl_urandom,1,8.0413,1.0000,7.9317,7.9309,7.9312
ctrl_urandom,2,8.0259,1.0000,3.4422,3.4428,3.4426
ctrl_urandom,3,8.0001,0.0604,0.0412,0.0415,0.0414
ctrl_urandom,4,8.0000,0.0002,,,
ctrl_zstd,0,7.9990,1.0000,7.9985,7.9986,7.9986
ctrl_zstd,1,8.0406,1.0000,7.9292,7.9298,7.9295
ctrl_zstd,2,8.0249,1.0000,3.4453,3.4441,3.4435
ctrl_zstd,3,8.0000,0.0614,0.0417,0.0420,0.0418
ctrl_zstd,4,8.0000,0.0004,,,
ctrl_base64,0,6.0224,1.0000,6.0220,6.0220,6.0220
ctrl_base64,1,6.0418,1.0000,6.0174,6.0176,6.0176
ctrl_base64,2,6.8426,1.0000,5.7107,5.7104,5.7112
ctrl_base64,3,7.9628,0.9778,1.6259,1.6264,1.6259
ctrl_base64,4,7.9993,0.0575,,,
