coder,n_runs,bpb,ratio,enc_s,dec_s,enc_MBps,dec_MBps,enc_peak_rss_MB,dec_peak_rss_MB,roundtrip_ok,n_censored,censor_phase,n_failed
rnr1-fast,1,3.6749,0.45936,1.961,1.762,8.554,9.524,70.6,79.7,True,0,,0
rnr1-ref,1,3.6749,0.45936,258.378,262.488,0.065,0.064,109.6,121.6,True,0,,0
zstd-19,1,2.2066,0.27582,4.87,0.027,3.445,620.802,109.9,13.3,True,0,,0
zstd-22u,1,2.1894,0.27367,5.488,0.03,3.057,568.046,294.5,21.4,True,0,,0
xz-6,1,2.1546,0.26933,5.317,0.168,3.155,100.061,99.4,10.2,True,0,,0
xz-9e,1,2.1367,0.26709,6.033,0.167,2.781,100.167,220.5,18.6,True,0,,0
brotli-q11,1,2.1291,0.26614,51.568,0.065,0.325,259.594,377.7,20.0,True,0,,0
brotli-q9,1,2.3536,0.29421,3.609,0.064,4.649,263.451,322.6,20.3,True,0,,0
gzip-9,3,2.9523,0.36904,0.731,0.037,22.966,453.817,1.6,1.4,True,0,,0
bzip2-9,1,2.3413,0.29266,1.511,0.529,11.101,31.733,7.9,5.1,True,0,,0
rnr1-fast-mt8,1,3.6749,0.45936,0.405,0.395,41.438,42.462,177.1,182.3,True,0,,0
