W,corpus,encode_s,model_best_bytes,model_bpb,model_lzma_bytes,model_raw_bytes,model_share_best_bpb,model_share_raw_bpb,model_zlib_bytes,n_bytes,outer_block_B,stream_bpb,stream_bytes,total_bpb,total_zlibmodel_bpb
2,text,10.95,42400,0.14827,42400,74137,,,47553,4000000,,3.10915,1554575,3.25742,3.20426
3,text,11.44,87740,0.29902,87740,149509,,,97672,4000000,,2.58846,1294231,2.88748,2.78381
4,text,13.88,118152,0.38995,118152,194973,,,130803,4000000,,2.36229,1181145,2.75224,2.6239
5,text,17.17,130276,0.42273,130276,211364,,,143845,4000000,,2.29464,1147322,2.71737,2.58233
6,text,22.09,134248,0.4331,134248,216552,,,148182,4000000,,2.27613,1138065,2.70923,2.57249
6,text,,134248,,,216552,1.02423,1.65216,,4000000,1048576,,,,
6,text,,134248,,,216552,0.25606,0.41304,,4000000,4194304,,,,
6,text,,134248,,,216552,0.06401,0.10326,,4000000,16777216,,,,
6,text,,134248,,,216552,0.016,0.02582,,4000000,67108864,,,,
6,text,,134248,,,216552,0.004,0.00645,,4000000,268435456,,,,
2,code,8.92,49712,0.2023,49712,84934,,,55512,3358720,,2.82067,1184232,3.02298,2.9529
3,code,9.43,87220,0.34158,87220,143411,,,96643,3358720,,2.35092,987012,2.69251,2.58111
4,code,11.48,106276,0.40469,106276,169904,,,117070,3358720,,2.19813,922861,2.60281,2.47697
5,code,13.99,114424,0.42998,114424,180523,,,125857,3358720,,2.14527,900671,2.57525,2.44505
6,code,17.92,117816,0.44041,117816,184901,,,129533,3358720,,2.12586,892522,2.56627,2.43439
6,code,,117816,,,184901,0.89886,1.41068,,3358720,1048576,,,,
6,code,,117816,,,184901,0.22472,0.35267,,3358720,4194304,,,,
6,code,,117816,,,184901,0.05618,0.08817,,3358720,16777216,,,,
6,code,,117816,,,184901,0.01404,0.02204,,3358720,67108864,,,,
6,code,,117816,,,184901,0.00351,0.00551,,3358720,268435456,,,,
