corpus,size_mb,W,HBITS,passes,K,coded_ce_bpb,weight_overhead_bpb,effective_bpb,table_mb,train_time_s,code_ce_time_s,per_pass_time_s
text,1.0,4,22,1,1048576,2.2091360348066904,0.0,2.2091360348066904,62.91456,0.0,126.41627033299301,
text,1.0,8,22,1,1048576,2.064685638872299,0.0,2.064685638872299,113.246208,0.0,192.20059104199754,
text,1.0,12,22,1,1048576,2.061645000239187,0.0,2.061645000239187,163.577856,0.0,265.07251895795343,
text,1.0,16,22,1,1048576,2.0613363321569698,0.0,2.0613363321569698,213.909504,0.0,331.2194564579986,
text,1.0,20,22,1,1048576,2.0614766935851834,0.0,2.0614766935851834,264.241152,0.0,367.67566329200054,
text,1.0,16,18,1,1048576,2.1642664742996907,0.0,2.1642664742996907,13.369344,0.0,201.5246715839603,
text,1.0,16,20,1,1048576,2.079037056672376,0.0,2.079037056672376,53.477376,0.0,300.8438552089501,
text,1.0,16,24,1,1048576,2.0615293962599743,0.0,2.0615293962599743,855.638016,0.0,320.9373530000448,
text,1.0,16,22,2,1048576,2.090337862820406,0.1328125,2.223150362820406,213.909504,698.8715194160468,345.8109987920034,330.0;368.9
text,1.0,16,22,3,1048576,2.0894884849753073,0.1328125,2.2223009849753073,213.909504,1107.966812165978,315.46742454200285,386.8;387.4;333.8
code,1.0,8,22,1,1048576,1.5669415580658217,0.0,1.5669415580658217,113.246208,0.0,192.38514204102103,
