corpus,size_mb,coder,measured,bpb,enc_mb_s,dec_mb_s,enc_peak_rss_mb,dec_peak_rss_mb,W,HBITS,passes,K,train_time_s,per_pass_time_s,note
text,1.0,gzip-9,True,2.8311538696289062,26.565114616285065,88.99498282977748,1.622016,1.39264,,,,,,,
text,1.0,bz2-9,True,2.2441329956054688,14.819238878963136,31.64939180466772,7.94624,4.931584,,,,,,,
text,1.0,xz-6,True,2.309906005859375,3.149737228377045,56.457132109837914,28.622848,2.850816,,,,,,,
text,1.0,xz-9e,True,2.31011962890625,3.4908785756937166,58.57734784103735,78.790656,2.850816,,,,,,,
text,1.0,zstd-19,True,2.3857498168945312,3.7390353203022233,130.3922006942307,22.396928,3.457024,,,,,,,
text,1.0,zstd-22u,True,2.3857269287109375,4.333944416358562,136.54000123850412,22.396928,3.457024,,,,,,,
text,1.0,brotli-11,True,2.2358474731445312,0.7654463785542909,117.5319514051297,30.375936,3.702784,,,,,,,
text,1.0,rnr1-count-W3,True,3.5171966552734375,5.846314677819449,5.030661542964377,39.452672,39.07584,3,,,65536,,,
text,4.0,gzip-9,True,2.9172115325927734,28.79971435082233,370.2244596330549,1.622016,1.39264,,,,,,,
text,4.0,bz2-9,True,2.320650100708008,20.183129128844428,40.088639753105156,7.94624,4.931584,,,,,,,
text,4.0,xz-6,True,2.2527084350585938,2.5844895401592036,77.89070189692603,56.9344,5.996544,,,,,,,
text,4.0,xz-9e,True,2.2526779174804688,2.6092812938542735,77.53027662740554,107.266048,5.996544,,,,,,,
text,4.0,zstd-19,True,2.315359115600586,2.822595503957099,342.89718670649495,60.424192,8.43776,,,,,,,
text,4.0,zstd-22u,True,2.3152332305908203,2.820020954681333,353.8339991238802,77.185024,7.913472,,,,,,,
text,4.0,brotli-11,True,2.2252273559570312,0.7109256175788221,239.20464858710426,70.28736,7.176192,,,,,,,
text,4.0,rnr1-count-W3,True,3.633115768432617,7.168426008168407,7.895453996206383,47.874048,43.958272,3,,,65536,,,
text,16.0,gzip-9,True,2.9523181915283203,30.435190222573,481.31267471779125,1.622016,1.39264,,,,,,,
text,16.0,bz2-9,True,2.341282367706299,20.571514411917505,39.94483298446394,7.929856,4.931584,,,,,,,
text,16.0,xz-6,True,2.154613494873047,1.9064535160215366,79.46719082112352,99.401728,10.190848,,,,,,,
text,16.0,xz-9e,True,2.1366958618164062,1.7662581139826663,88.70751861144488,220.512256,18.579456,,,,,,,
text,16.0,zstd-19,True,2.206592082977295,2.0322067883062287,500.2536717430631,109.953024,13.402112,,,,,,,
text,16.0,zstd-22u,True,2.189387321472168,1.8878637492434944,437.7949800289041,294.469632,21.430272,,,,,,,
text,16.0,brotli-11,True,2.1291351318359375,0.631943488323417,320.9652746623783,376.356864,19.939328,,,,,,,
text,16.0,rnr1-count-W3,True,3.674877643585205,7.802772733313403,8.633300740721486,70.582272,79.70816,3,,,65536,,,
text,64.0,gzip-9,True,2.920145034790039,31.3933877116684,580.6125170366405,1.622016,1.39264,,,,,,,
text,64.0,bz2-9,True,2.323115825653076,20.97385880824156,42.90419336159698,7.94624,4.931584,,,,,,,
text,64.0,xz-6,True,2.1148242950439453,1.7665575543781669,92.17095247344434,99.401728,10.190848,,,,,,,
text,64.0,xz-9e,True,2.014559745788574,1.3380445898861493,92.7747141450322,673.497088,68.911104,,,,,,,
text,64.0,zstd-19,True,2.1607128381729126,1.721542453513586,563.3673968338512,164.773888,12.746752,,,,,,,
text,64.0,zstd-22u,True,2.0561089515686035,1.3739595391878527,692.5037363671911,760.102912,71.18848,,,,,,,
text,64.0,brotli-11,True,2.0655049085617065,0.5973574314934992,338.1105077439963,378.978304,20.054016,,,,,,,
text,64.0,rnr1-count-W3,True,3.637182831764221,7.943112887017244,8.66862588118004,168.198144,204.767232,3,,,65536,,,
code,1.0,gzip-9,True,1.959503173828125,10.78030022760531,164.42125368206135,1.622016,1.39264,,,,,,,
code,1.0,bz2-9,True,1.566986083984375,20.80337670377114,41.89018964688747,7.94624,4.931584,,,,,,,
code,1.0,xz-6,True,1.5565185546875,4.632018133513735,71.1896411060475,28.606464,2.850816,,,,,,,
code,1.0,xz-9e,True,1.55120849609375,3.8516042882880157,69.48103788165936,78.905344,2.850816,,,,,,,
code,1.0,zstd-19,True,1.5920181274414062,4.539963981825927,142.00009663645585,22.167552,3.309568,,,,,,,
code,1.0,zstd-22u,True,1.5902481079101562,4.359836820315346,142.16373940700348,22.167552,3.309568,,,,,,,
code,1.0,brotli-11,True,1.5279998779296875,0.8969903815062232,132.59198464429758,26.165248,3.60448,,,,,,,
code,1.0,rnr1-count-W3,True,2.7200775146484375,6.8087084768485315,7.222540804009931,53.215232,53.00224,3,,,65536,,,
code,4.0,gzip-9,True,1.6285266876220703,14.303365516927622,477.95383900836305,1.622016,1.376256,,,,,,,
code,4.0,bz2-9,True,1.3029365539550781,22.190558321900507,57.49527184773349,7.94624,4.931584,,,,,,,
code,4.0,xz-6,True,1.228759765625,4.331416429457331,122.07604458458833,56.918016,5.996544,,,,,,,
code,4.0,xz-9e,True,1.220458984375,3.6067528422901125,121.70749794757069,107.266048,5.996544,,,,,,,
code,4.0,zstd-19,True,1.2489871978759766,3.983085617923906,425.0840180299922,59.63776,7.3728,,,,,,,
code,4.0,zstd-22u,True,1.2470989227294922,3.114608391022881,435.6247513243996,76.414976,7.3728,,,,,,,
code,4.0,brotli-11,True,1.2158679962158203,0.9122477070996531,329.17587304745473,62.390272,7.176192,,,,,,,
code,4.0,rnr1-count-W3,True,2.4911651611328125,9.354092175785652,10.027551055322522,59.63776,56.9344,3,,,65536,,,
code,16.0,gzip-9,True,1.5028095245361328,16.440194076258425,680.1688951619049,1.605632,1.39264,,,,,,,
code,16.0,bz2-9,True,1.219912052154541,22.414960581989458,58.66368845718441,7.94624,4.931584,,,,,,,
code,16.0,xz-6,True,0.9892234802246094,4.19454807029315,155.25235109455224,99.401728,10.190848,,,,,,,
code,16.0,xz-9e,True,0.9756889343261719,3.168799409590853,160.91419805701517,220.512256,18.579456,,,,,,,
code,16.0,zstd-19,True,1.0080361366271973,3.72000911534769,844.5385898508591,107.249664,13.336576,,,,,,,
code,16.0,zstd-22u,True,1.0026426315307617,3.001179003450882,714.4307836406409,291.79904,21.479424,,,,,,,
code,16.0,brotli-11,True,0.9737024307250977,0.9033302774949501,583.0145647797539,227.08224,20.119552,,,,,,,
code,16.0,rnr1-count-W3,True,2.291497230529785,10.716305691331186,11.67696354104332,73.07264,78.577664,3,,,65536,,,
code,64.0,gzip-9,True,1.6855429410934448,15.05098076083672,983.3881230601029,1.605632,1.39264,,,,,,,
code,64.0,bz2-9,True,1.3874828815460205,23.114397723931194,60.76779062244059,7.94624,4.931584,,,,,,,
code,64.0,xz-6,True,1.200235366821289,3.1852706214413473,146.0998855875927,99.401728,10.190848,,,,,,,
code,64.0,xz-9e,True,1.171220302581787,2.1688632901345684,145.5584803198327,673.497088,68.911104,,,,,,,
code,64.0,zstd-19,True,1.2284846305847168,2.6327119536595887,796.7520366738978,160.80896,13.336576,,,,,,,
code,64.0,zstd-22u,True,1.2052267789840698,2.005289951928869,931.0755976981347,752.812032,71.827456,,,,,,,
text,1.0,rnr1-hashed-CM,True,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,198.868992,12,22,1,1048576,0.0,,
text,4.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
text,16.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
text,64.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
text,256.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
text,500.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
text,1500.0,rnr1-hashed-CM,False,2.0622634887695312,0.0031687956599502423,0.003360692990948463,197.656576,197.656576,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
code,1.0,rnr1-hashed-CM,True,1.5621795654296875,0.0033609431755797763,0.003331845984109235,196.214784,197.394432,12,22,1,1048576,0.0,,
code,4.0,rnr1-hashed-CM,False,1.5621795654296875,0.0033609431755797763,0.003331845984109235,196.214784,196.214784,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
code,16.0,rnr1-hashed-CM,False,1.5621795654296875,0.0033609431755797763,0.003331845984109235,196.214784,196.214784,12,22,1,,,,PROJECTED: bpb~=largest measured (improves with warm-up); time=size/enc_mb_s; peakRSS FIXED (file-size-independent); needs C port
